"","treatment","time","replicate","group",".cell_cycle",".gender","cluster"
"Control 2h","Control","2h","1","Control_2h","S",NA,"C1"
"Control 2h_2","Control","2h","2","Control_2h","S",NA,"C1"
"Control 2h_3","Control","2h","3","Control_2h","S",NA,"C1"
"Control 6h_1","Control","6h","1","Control_6h","S",NA,"C3"
"Control 6h_2","Control","6h","2","Control_6h","S",NA,"C3"
"Control 6h_3","Control","6h","3","Control_6h","S",NA,"C3"
"Control 10h_1","Control","10h","1","Control_10h","S",NA,"C2"
"Control 10h_2","Control","10h","2","Control_10h","S",NA,"C2"
"Control 10h_3","Control","10h","3","Control_10h","S",NA,"C2"
"Control 24h_1","Control","24h","1","Control_24h","S",NA,"C4"
"Control 24h_2","Control","24h","2","Control_24h","S",NA,"C4"
"Control 24h_3","Control","24h","3","Control_24h","S",NA,"C4"
"Virus 2h_1","Virus","2h","1","Virus_2h","G2M",NA,"C1"
"Virus 2h_2","Virus","2h","2","Virus_2h","G2M",NA,"C1"
"Virus 2h_3","Virus","2h","3","Virus_2h","S",NA,"C1"
"Virus 6h_1","Virus","6h","1","Virus_6h","S",NA,"C2"
"Virus 6h_2","Virus","6h","2","Virus_6h","G2M",NA,"C2"
"Virus 6h_3","Virus","6h","3","Virus_6h","S",NA,"C2"
"Virus 10h_1","Virus","10h","1","Virus_10h","S",NA,"C5"
"Virus 10h_2","Virus","10h","2","Virus_10h","S",NA,"C5"
"Virus 10h_3","Virus","10h","3","Virus_10h","G1",NA,"C5"
"Virus 24h_1","Virus","24h","1","Virus_24h","S",NA,"C6"
"Virus 24h_2","Virus","24h","2","Virus_24h","S",NA,"C6"
"Virus 24h_3","Virus","24h","3","Virus_24h","S",NA,"C6"
